[I 240812 10:54:51 API:64] on open
[I 240812 10:56:16 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6209819, 'exchange_timestamp': 1723440376000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:17 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6210619, 'exchange_timestamp': 1723440377000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:18 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6211465, 'exchange_timestamp': 1723440378000, 'last_traded_price': 2399, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:19 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6212296, 'exchange_timestamp': 1723440379000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:20 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6213072, 'exchange_timestamp': 1723440380000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:21 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6213855, 'exchange_timestamp': 1723440381000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:22 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6214656, 'exchange_timestamp': 1723440382000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:23 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6215195, 'exchange_timestamp': 1723440383000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:23 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6215453, 'exchange_timestamp': 1723440383000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:24 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6216314, 'exchange_timestamp': 1723440384000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
